,text,date
61,Amsterdam bans AirBnB rentals in old centre from July 1 - Reuters,2020-06-25T18:14:00Z
62,BRIEF-Super Group Eleven Months Revenue From Ops 11.9% Below - Reuters,2020-06-25T18:14:00Z
64,NASCAR: Only one noose found in sweep at 29 tracks - Reuters,2020-06-25T18:11:00Z
65,Amazon gold rush: illegal mining threatens Brazil's last major isolated tribe - Reuters India,2020-06-25T18:07:19Z
66,CDC head warns pregnant women with COVID-19 face greater risks - Reuters India,2020-06-25T18:05:12Z
67,U.S. Senate backs bill to punish China over Hong Kong,2020-06-25T18:04:49Z
68,"We won't meddle in Lufthansa operating business, says German minister - Reuters",2020-06-25T18:04:00Z
69,Dixie Chicks drop Dixie from name; country group tries to 'meet the moment',2020-06-25T18:01:15Z
71,G20 debt relief program draws 41 poor countries so far-statement - Reuters,2020-06-25T18:01:00Z
72,SEC's Clayton says possible U.S. Attorney's job first raised last weekend - Reuters,2020-06-25T18:00:00Z
73,Fed's George says full economic recovery is still far off,2020-06-25T17:59:49Z
74,Disney to revamp Splash Mountain to feature company's first Black princess,2020-06-25T17:59:29Z
76,"We won't meddle in Lufthansa operating business, says German minister",2020-06-25T17:59:09Z
77,"French coronavirus deaths rise by 21 to 29,752",2020-06-25T17:59:03Z
78,"French coronavirus deaths rise by 21 to 29,752 - Reuters",2020-06-25T17:59:00Z
79,BRIEF-Neurometrix Signs Dpncheck® Collaboration Agreement With Biomedix - Reuters,2020-06-25T17:59:00Z
81,Germany's Scholz greets shareholder approval for Lufthansa rescue - Reuters,2020-06-25T17:56:00Z
82,Disney to revamp Splash Mountain to feature company's first Black princess - Reuters,2020-06-25T17:56:00Z
83,Austria probes AMS management over alleged market manipulation - Reuters,2020-06-25T17:52:00Z
84,UK town raises alarm as huge crowds flock to coast - Reuters,2020-06-25T17:50:13Z
85,At least 10 aid workers kidnapped in southwest Niger,2020-06-25T17:48:58Z
87,Lightning strikes kill over 100 in two Indian states - Reuters,2020-06-25T17:47:00Z
88,"Vaccine against COVID-19 not certain, maybe in a year -WHO - Reuters India",2020-06-25T17:46:45Z
89,Malawi opposition's Chakwera leads re-run with 60% - state broadcaster mbc - Reuters Africa,2020-06-25T17:46:00Z
90,Nigerian banks to restructure over a third of loans -MPC member,2020-06-25T17:44:29Z
91,British Airways makes proposal to cabin crew on pay cuts - Reuters,2020-06-25T17:43:00Z
92,Cobalt-rich Congo province to centralise mineral sales - Reuters,2020-06-25T17:42:00Z
93,Dunk specialist Carter announces retirement after 22 seasons - Reuters,2020-06-25T17:41:00Z
94,"No final decision at White House talks on Israeli annexation moves, U.S. officials say - Reuters UK",2020-06-25T17:40:07Z
95,MasMovil bid faces investigation call by minority shareholder - Reuters,2020-06-25T17:40:00Z
96,Dunk specialist Carter announces retirement after 22 seasons,2020-06-25T17:38:01Z
97,"U.S. urges Russia, China to give Venezuela more aid in COVID fight",2020-06-25T17:37:34Z
98,Amazon gold rush: illegal mining threatens Brazil's last major isolated tribe - Reuters,2020-06-25T17:36:29Z
99,Amazon gold rush: illegal mining threatens Brazil's last major isolated tribe,2020-06-25T17:35:57Z
